VehicleModel,VehicleYear,PartName,HoursOfOperation,SupplierName,ClaimDate,SettlementAmount,MaintenanceFrequency,EnvironmentCondition,OperationalIntensity,WarrantyStatus,PreviousFailures,pass_fail
Model D,2021,Brake,3414.0,RideEquipCorp,2020-12-01 12:31:27.029009664,967.6540408134781,1500 hours,Mountainous,Heavy,In Warranty,0,pass
Model D,2015,Brake,3253.0,AutoPartsCo,2020-12-02 03:08:13.364454816,462.23035989375506,,Mountainous,Light,Out of Warranty,3,fail
Model B,2019,Brake,939.0,RideEquipCorp,2020-12-02 17:44:59.699899968,1096.4263633885178,1500 hours,Rural,Light,Out of Warranty,3,pass
,2020,Radiator,842.0,AutoPartsCo,2020-12-03 08:21:46.035345120,1918.0650045377442,1000 hours,Mountainous,Moderate,In Warranty,0,fail
Model A,2016,,3508.0,RideEquipCorp,2020-12-03 22:58:32.370790256,,1000 hours,Rural,Heavy,In Warranty,0,fail
Model D,2020,Headlight,1031.0,AutoPartsCo,2020-12-04 13:35:18.706235408,71.54193316491634,500 hours,Coastal,Moderate,Out of Warranty,3,fail
Model A,2018,Radiator,3581.0,RideEquipCorp,2020-12-05 04:12:05.041680560,166.43626450896176,1000 hours,Coastal,Heavy,In Warranty,1,fail
Model A,2018,Brake,3579.0,AutoPartsCo,2020-12-05 18:48:51.377125712,1986.0836955269272,1000 hours,Coastal,Heavy,Out of Warranty,3,pass
Model C,2016,Alternator,851.0,MotoComponentsLtd,2020-12-06 09:25:37.712570864,190.29540051690873,1000 hours,Urban,Heavy,In Warranty,1,pass
Model C,2022,Engine,92.0,DriveLineTech,2020-12-07 00:02:24.048016000,139.7880620875522,,Coastal,Moderate,In Warranty,2,fail
Model D,2017,Engine,3399.0,RideEquipCorp,2020-12-07 14:39:10.383461152,738.397325249378,1000 hours,Mountainous,Moderate,Out of Warranty,1,pass
Model C,2017,Engine,1827.0,AutoPartsCo,2020-12-08 05:15:56.718906304,1940.1685463752065,1500 hours,Urban,Light,In Warranty,4,pass
Model C,2018,Radiator,3251.0,MotoComponentsLtd,2020-12-08 19:52:43.054351456,671.4165497790881,,Urban,Moderate,In Warranty,0,pass
Model C,2018,Brake,399.0,RideEquipCorp,2020-12-09 10:29:29.389796592,849.2740552067778,1000 hours,Urban,Heavy,In Warranty,2,pass
Model A,2021,Radiator,1617.0,RideEquipCorp,2020-12-10 01:06:15.725241744,1286.4502693567028,1500 hours,Coastal,Heavy,Out of Warranty,3,pass
Model D,2015,Headlight,11790.0,RideEquipCorp,2020-12-10 15:43:02.060686896,97.01808668647575,1500 hours,Urban,Heavy,Out of Warranty,1,pass
Model B,2021,Alternator,3009.0,DriveLineTech,2020-12-11 06:19:48.396132048,1800.6389761624166,500 hours,Coastal,Moderate,In Warranty,2,pass
Model A,2021,Alternator,3837.0,AutoPartsCo,2020-12-11 20:56:34.731577200,1062.9138842311427,500 hours,Coastal,Light,In Warranty,4,pass
Model C,2022,Engine,1830.0,AutoPartsCo,2020-12-12 11:33:21.067022336,960.281266707913,1500 hours,Urban,Moderate,In Warranty,1,pass
,2017,Engine,633.0,RideEquipCorp,2020-12-13 02:10:07.402467488,1728.4169913029293,1000 hours,Urban,Light,In Warranty,3,pass
Model C,2022,Engine,4577.0,RideEquipCorp,2020-12-13 16:46:53.737912640,1908.4993492481412,500 hours,Mountainous,Moderate,Out of Warranty,3,pass
Model C,2022,Brake,3427.0,RideEquipCorp,2020-12-14 07:23:40.073357792,875.6792017113278,1500 hours,Urban,Heavy,Out of Warranty,1,pass
Model A,2016,Headlight,,MotoComponentsLtd,2020-12-14 22:00:26.408802928,386.2601046217999,1500 hours,Coastal,Light,Out of Warranty,4,fail
Model D,2017,Headlight,3235.0,RideEquipCorp,2020-12-15 12:37:12.744248080,1640.6330765040423,1000 hours,Mountainous,Moderate,In Warranty,0,pass
Model C,2015,Headlight,2244.0,DriveLineTech,2020-12-16 03:13:59.079693232,836.35782138385,1500 hours,Mountainous,Heavy,In Warranty,0,fail
Model D,2020,Headlight,1212.0,,2020-12-16 17:50:45.415138384,1874.313802047944,500 hours,Coastal,Light,Out of Warranty,3,fail
Model B,2018,Engine,348.0,DriveLineTech,2020-12-17 08:27:31.750583520,1902.3030184704166,1000 hours,Urban,Light,In Warranty,4,pass
Model C,2018,Alternator,3397.0,RideEquipCorp,2020-12-17 23:04:18.086028672,273.9166118566705,1500 hours,Urban,Heavy,In Warranty,3,pass
Model D,2015,Engine,1989.0,MotoComponentsLtd,2020-12-18 13:41:04.421473824,1915.2802362990599,1500 hours,Rural,Heavy,Out of Warranty,0,pass
Model D,2022,Headlight,838.0,RideEquipCorp,2020-12-19 04:17:50.756918976,768.1271346179858,1000 hours,Urban,Moderate,In Warranty,3,pass
Model B,2021,Engine,4995.0,RideEquipCorp,2020-12-19 18:54:37.092364128,1310.1924094315214,1000 hours,Rural,Moderate,Out of Warranty,1,pass
Model D,2016,Headlight,2939.0,RideEquipCorp,2020-12-20 09:31:23.427809264,117.76265938138977,1000 hours,Mountainous,Heavy,In Warranty,1,pass
Model D,2022,Radiator,1427.0,RideEquipCorp,2020-12-21 00:08:09.763254416,1783.3243344634736,500 hours,,Moderate,In Warranty,4,pass
Model B,2018,Alternator,1999.0,RideEquipCorp,2020-12-21 14:44:56.098699568,1301.1147922224866,500 hours,Mountainous,Heavy,In Warranty,0,pass
Model C,2019,Radiator,3322.0,AutoPartsCo,2020-12-22 05:21:42.434144720,1304.9312105650174,1500 hours,Rural,Heavy,In Warranty,4,fail
Model D,2021,Brake,927.0,DriveLineTech,2020-12-22 19:58:28.769589856,1809.2435119560935,1500 hours,Coastal,Moderate,In Warranty,4,pass
Model D,2018,Engine,3792.0,,2020-12-23 10:35:15.105035008,1041.2769910693191,1000 hours,Coastal,Moderate,Out of Warranty,0,fail
Model D,2019,Brake,1627.0,RideEquipCorp,2020-12-24 01:12:01.440480160,850.5074487069735,1500 hours,Mountainous,Light,Out of Warranty,2,pass
Model A,2022,Engine,3189.0,MotoComponentsLtd,2020-12-24 15:48:47.775925312,1738.9510669700167,1500 hours,Rural,Light,In Warranty,2,pass
Model B,2015,Radiator,2542.0,AutoPartsCo,2020-12-25 06:25:34.111370464,1497.7199981492265,1000 hours,Rural,Moderate,In Warranty,3,pass
Model A,2015,Headlight,2805.0,DriveLineTech,2020-12-25 21:02:20.446815600,1900.502546681557,500 hours,Mountainous,Moderate,Out of Warranty,2,fail
Model B,2021,Headlight,1953.0,RideEquipCorp,2020-12-26 11:39:06.782260752,1883.2376919555386,,Urban,Moderate,Out of Warranty,1,pass
Model C,2018,Engine,1432.0,AutoPartsCo,2020-12-27 02:15:53.117705904,,500 hours,Mountainous,Light,In Warranty,4,pass
Model C,2017,Headlight,4290.0,AutoPartsCo,2020-12-27 16:52:39.453151056,921.6232657757648,1500 hours,Rural,Moderate,Out of Warranty,3,fail
Model D,2019,Radiator,2372.0,DriveLineTech,2020-12-28 07:29:25.788596192,549.170659892018,1000 hours,Urban,Light,Out of Warranty,4,pass
Model B,2016,Headlight,2606.0,RideEquipCorp,2020-12-28 22:06:12.124041344,1338.2633838202069,500 hours,Coastal,Light,Out of Warranty,0,pass
Model C,2018,Radiator,1911.0,DriveLineTech,2020-12-29 12:42:58.459486496,760.8568416733287,1500 hours,Urban,Light,In Warranty,2,fail
Model B,2016,Brake,1916.0,DriveLineTech,2020-12-30 03:19:44.794931648,1582.8962608849586,1000 hours,Coastal,Light,Out of Warranty,0,fail
Model C,2018,Radiator,4097.0,MotoComponentsLtd,2020-12-30 17:56:31.130376800,,500 hours,Rural,Heavy,Out of Warranty,3,pass
Model A,2017,Alternator,3225.0,MotoComponentsLtd,2020-12-31 08:33:17.465821936,276.9855597732045,500 hours,Mountainous,Moderate,Out of Warranty,1,pass
Model C,2017,Alternator,1148.0,DriveLineTech,2020-12-31 23:10:03.801267088,448.68799376782397,1000 hours,Mountainous,Moderate,Out of Warranty,2,fail
Model A,2021,Alternator,1784.0,MotoComponentsLtd,2021-01-01 13:46:50.136712240,214.3697674529563,1500 hours,Mountainous,Heavy,In Warranty,0,fail
Model C,2021,Engine,4713.0,AutoPartsCo,2021-01-02 04:23:36.472157392,1259.0616349725576,1500 hours,Mountainous,Moderate,Out of Warranty,2,pass
Model D,2017,Engine,3466.0,DriveLineTech,2021-01-02 19:00:22.807602528,337.33789373264034,500 hours,Mountainous,Light,Out of Warranty,4,fail
Model A,2020,Engine,4676.0,RideEquipCorp,2021-01-03 09:37:09.143047680,361.9276890619258,1000 hours,Rural,Heavy,Out of Warranty,1,pass
Model C,2017,Radiator,730.0,RideEquipCorp,2021-01-04 00:13:55.478492832,77.74503627187369,1500 hours,Rural,Light,In Warranty,2,pass
Model D,2015,Engine,2120.0,AutoPartsCo,2021-01-04 14:50:41.813937984,1575.0755285160392,1000 hours,Mountainous,Heavy,In Warranty,1,pass
Model A,2015,Brake,4874.0,RideEquipCorp,2021-01-05 05:27:28.149383120,,1000 hours,Urban,Light,In Warranty,4,pass
Model D,2020,Alternator,1779.0,RideEquipCorp,2021-01-05 20:04:14.484828272,365.94371191065744,500 hours,Mountainous,Moderate,Out of Warranty,4,pass
Model B,2022,Radiator,2241.0,DriveLineTech,2021-01-06 10:41:00.820273424,1492.0726468210878,,Coastal,Moderate,Out of Warranty,0,pass
Model B,2019,Alternator,717.0,AutoPartsCo,2021-01-07 01:17:47.155718576,895.4129901568513,1000 hours,Coastal,Moderate,Out of Warranty,3,pass
Model A,2022,Engine,1662.0,DriveLineTech,2021-01-07 15:54:33.491163728,517.2100217825131,1000 hours,Coastal,Heavy,In Warranty,0,pass
Model C,2016,Radiator,,AutoPartsCo,2021-01-08 06:31:19.826608864,1261.6999857439664,1500 hours,Coastal,Moderate,Out of Warranty,1,pass
Model A,2022,,1022.0,,2021-01-08 21:08:06.162054016,398.04394497681534,500 hours,Mountainous,Heavy,Out of Warranty,0,fail
Model D,2018,Brake,2896.0,DriveLineTech,2021-01-09 11:44:52.497499168,1525.923034923419,500 hours,Coastal,Light,In Warranty,2,fail
Model C,2022,Engine,2182.0,MotoComponentsLtd,2021-01-10 02:21:38.832944320,142.8496937625758,,Urban,Moderate,Out of Warranty,0,pass
Model B,2018,Engine,2513.0,RideEquipCorp,2021-01-10 16:58:25.168389456,1920.305319209433,1000 hours,Mountainous,Light,Out of Warranty,3,fail
Model C,2020,Brake,2579.0,AutoPartsCo,2021-01-11 07:35:11.503834608,190.1567447318177,1500 hours,Coastal,Moderate,In Warranty,3,pass
Model B,2015,Brake,2553.0,RideEquipCorp,2021-01-11 22:11:57.839279760,,500 hours,Mountainous,Light,In Warranty,1,pass
Model C,2021,Headlight,4972.0,MotoComponentsLtd,2021-01-12 12:48:44.174724912,1809.2788657386382,1500 hours,Mountainous,Heavy,In Warranty,4,fail
Model C,2018,Engine,4442.0,AutoPartsCo,2021-01-13 03:25:30.510170064,73.21371425330818,500 hours,Mountainous,Moderate,In Warranty,3,pass
Model C,2015,Engine,3233.0,MotoComponentsLtd,2021-01-13 18:02:16.845615200,1022.1031989286613,1500 hours,Rural,Heavy,In Warranty,1,pass
Model D,2019,Alternator,,RideEquipCorp,2021-01-14 08:39:03.181060352,732.5135804058258,1000 hours,Coastal,Heavy,Out of Warranty,3,pass
Model D,2016,Radiator,3217.0,DriveLineTech,2021-01-14 23:15:49.516505504,1181.6477710029226,1500 hours,Rural,Light,In Warranty,3,pass
Model A,2019,,3047.0,MotoComponentsLtd,2021-01-15 13:52:35.851950656,489.6419041384344,1000 hours,Urban,Moderate,Out of Warranty,4,pass
Model A,2020,Alternator,3277.0,MotoComponentsLtd,2021-01-16 04:29:22.187395792,176.5534736018633,500 hours,Urban,Heavy,Out of Warranty,2,fail
Model B,2022,Radiator,2202.0,DriveLineTech,2021-01-16 19:06:08.522840944,,500 hours,Rural,Light,In Warranty,1,pass
Model D,2022,Brake,1778.0,RideEquipCorp,2021-01-17 09:42:54.858286096,862.8560170121348,1000 hours,Coastal,Light,In Warranty,3,fail
Model B,2017,Radiator,2074.0,MotoComponentsLtd,2021-01-18 00:19:41.193731248,,500 hours,Mountainous,Light,Out of Warranty,3,fail
Model A,2017,Radiator,379.0,RideEquipCorp,2021-01-18 14:56:27.529176400,460.5513363337937,1500 hours,Urban,Moderate,Out of Warranty,0,pass
Model B,2017,Alternator,2536.0,DriveLineTech,2021-01-19 05:33:13.864621536,710.5454627592895,1000 hours,Urban,Moderate,Out of Warranty,2,pass
,2019,Headlight,1205.0,AutoPartsCo,2021-01-19 20:10:00.200066688,1145.2787092609901,500 hours,Urban,Light,In Warranty,4,pass
Model D,2018,Radiator,1940.0,MotoComponentsLtd,2021-01-20 10:46:46.535511840,1206.5699177332183,1500 hours,Coastal,Moderate,Out of Warranty,1,pass
Model C,2016,Radiator,4527.0,RideEquipCorp,2021-01-21 01:23:32.870956992,776.0138751598171,1500 hours,Rural,Light,In Warranty,3,pass
,2017,Headlight,2235.0,,2021-01-21 16:00:19.206402128,,500 hours,Rural,Moderate,Out of Warranty,1,fail
Model B,2020,,4988.0,DriveLineTech,2021-01-22 06:37:05.541847280,583.716227502762,500 hours,Coastal,Moderate,Out of Warranty,4,fail
Model B,2020,Headlight,2367.0,MotoComponentsLtd,2021-01-22 21:13:51.877292432,390.66373527075194,1500 hours,Urban,Light,Out of Warranty,2,pass
Model D,2017,Alternator,3671.0,AutoPartsCo,2021-01-23 11:50:38.212737584,684.5396765426949,1000 hours,Coastal,Light,In Warranty,0,pass
Model D,2022,Brake,4541.0,MotoComponentsLtd,2021-01-24 02:27:24.548182720,438.9086571757789,500 hours,Coastal,Moderate,In Warranty,2,pass
Model A,2017,Alternator,2561.0,RideEquipCorp,2021-01-24 17:04:10.883627872,1285.9400421483924,500 hours,Rural,Light,Out of Warranty,0,pass
Model B,2016,Brake,499.0,DriveLineTech,2021-01-25 07:40:57.219073024,1159.6806465720747,,Coastal,Light,Out of Warranty,1,fail
Model B,2017,Brake,1404.0,AutoPartsCo,2021-01-25 22:17:43.554518176,796.0482061582941,1000 hours,Coastal,Light,Out of Warranty,2,fail
Model D,2016,Alternator,1343.0,RideEquipCorp,2021-01-26 12:54:29.889963328,685.3685388779193,500 hours,Urban,Light,In Warranty,2,pass
Model C,2020,Engine,2515.0,MotoComponentsLtd,2021-01-27 03:31:16.225408464,513.3476903795529,1000 hours,Mountainous,Moderate,In Warranty,2,pass
Model B,2017,Alternator,3152.0,DriveLineTech,2021-01-27 18:08:02.560853616,1094.1437024707154,1500 hours,Urban,Heavy,In Warranty,4,pass
Model C,2019,Radiator,1899.0,MotoComponentsLtd,2021-01-28 08:44:48.896298768,1841.8603904740921,1500 hours,Rural,Moderate,In Warranty,1,pass
Model D,2021,Radiator,3225.0,AutoPartsCo,2021-01-28 23:21:35.231743920,1387.1209502084275,1500 hours,Mountainous,Light,In Warranty,0,pass
Model D,2019,Engine,4331.0,AutoPartsCo,2021-01-29 13:58:21.567189056,1501.6086923693563,500 hours,Urban,Light,Out of Warranty,2,pass
Model A,2020,Brake,3249.0,AutoPartsCo,2021-01-30 04:35:07.902634208,1677.0368341299952,1000 hours,Coastal,Moderate,Out of Warranty,1,pass
Model B,2016,Engine,1283.0,AutoPartsCo,2021-01-30 19:11:54.238079360,735.6881980088051,1500 hours,Coastal,Light,Out of Warranty,4,pass
Model C,2019,Radiator,1487.0,AutoPartsCo,2021-01-31 09:48:40.573524512,172.6077751232509,1000 hours,Mountainous,Moderate,In Warranty,4,pass
Model A,2016,Engine,3402.0,MotoComponentsLtd,2021-02-01 00:25:26.908969664,1263.9896664772064,1500 hours,Mountainous,Heavy,Out of Warranty,1,pass
Model B,2019,Alternator,4080.0,AutoPartsCo,2021-02-01 15:02:13.244414800,417.91096789466366,1000 hours,Coastal,Light,In Warranty,0,pass
Model A,2019,Engine,302.0,AutoPartsCo,2021-02-02 05:38:59.579859952,,1500 hours,Rural,Heavy,In Warranty,1,pass
Model D,2016,Brake,68.0,DriveLineTech,2021-02-02 20:15:45.915305104,1492.0449546562763,1500 hours,Urban,Heavy,Out of Warranty,1,pass
Model B,2018,Alternator,2809.0,AutoPartsCo,2021-02-03 10:52:32.250750256,1578.0946891882813,1500 hours,Coastal,Light,Out of Warranty,3,pass
Model A,2019,Headlight,272.0,DriveLineTech,2021-02-04 01:29:18.586195392,638.5862844826552,1500 hours,Urban,Light,In Warranty,4,fail
Model A,2017,Radiator,52.0,DriveLineTech,2021-02-04 16:06:04.921640544,1049.2448035101647,1500 hours,,Moderate,In Warranty,0,pass
Model C,2021,Radiator,1309.0,DriveLineTech,2021-02-05 06:42:51.257085696,1260.881937740525,1500 hours,Urban,Moderate,Out of Warranty,3,pass
Model A,2020,Engine,4999.0,MotoComponentsLtd,2021-02-05 21:19:37.592530848,1647.9874073162127,1500 hours,Urban,Light,In Warranty,1,fail
Model B,2018,Alternator,4373.0,,2021-02-06 11:56:23.927976000,1534.7078969546474,1500 hours,Rural,Moderate,In Warranty,4,pass
Model B,2016,Headlight,4644.0,RideEquipCorp,2021-02-07 02:33:10.263421136,1976.551875905872,1500 hours,Rural,Heavy,In Warranty,3,fail
Model C,2018,Alternator,26180.0,RideEquipCorp,2021-02-07 17:09:56.598866288,65.76511923352122,1000 hours,Rural,Heavy,Out of Warranty,3,pass
Model B,2015,Radiator,1935.0,DriveLineTech,2021-02-08 07:46:42.934311440,9031.044096831094,1000 hours,Coastal,Light,In Warranty,0,pass
Model D,2015,Alternator,1349.0,MotoComponentsLtd,2021-02-08 22:23:29.269756592,,500 hours,Coastal,Moderate,In Warranty,1,pass
Model B,2019,Headlight,2388.0,AutoPartsCo,2021-02-09 13:00:15.605201728,283.79210493250315,1500 hours,Coastal,Light,In Warranty,0,pass
,2019,Engine,1126.0,RideEquipCorp,2021-02-10 03:37:01.940646880,1827.45488992601,1000 hours,Rural,Heavy,In Warranty,3,pass
Model A,2017,Brake,3808.0,MotoComponentsLtd,2021-02-10 18:13:48.276092032,1996.0260288865882,1000 hours,Urban,Light,In Warranty,3,pass
Model A,2021,Alternator,3231.0,,2021-02-11 08:50:34.611537184,402.1626054142111,1000 hours,Rural,Light,In Warranty,0,fail
Model B,2020,Brake,4860.0,AutoPartsCo,2021-02-11 23:27:20.946982320,124.94511596265902,1000 hours,Coastal,Light,In Warranty,3,pass
Model C,2018,Radiator,997.0,MotoComponentsLtd,2021-02-12 14:04:07.282427472,586.3561729769757,1000 hours,Mountainous,Light,Out of Warranty,2,pass
Model A,2015,Engine,3788.0,RideEquipCorp,2021-02-13 04:40:53.617872624,1677.9807402294716,1000 hours,Coastal,Heavy,Out of Warranty,4,pass
Model C,2019,Engine,2781.0,MotoComponentsLtd,2021-02-13 19:17:39.953317776,623.0856622386676,500 hours,Urban,Light,Out of Warranty,1,fail
Model B,2022,Alternator,4057.0,RideEquipCorp,2021-02-14 09:54:26.288762928,160.95788697036204,1000 hours,Rural,Light,In Warranty,4,fail
Model B,2022,Engine,919.0,DriveLineTech,2021-02-15 00:31:12.624208064,152.35975870840832,,Mountainous,Moderate,Out of Warranty,1,fail
Model D,2020,Alternator,143.0,MotoComponentsLtd,2021-02-15 15:07:58.959653216,883.474464620401,500 hours,Mountainous,Light,Out of Warranty,3,pass
Model A,2018,Alternator,3037.0,MotoComponentsLtd,2021-02-16 05:44:45.295098368,,1500 hours,Urban,Moderate,In Warranty,0,pass
Model B,2019,Brake,4705.0,RideEquipCorp,2021-02-16 20:21:31.630543520,607.5448611972822,1500 hours,Rural,Light,Out of Warranty,0,pass
Model D,2019,Engine,1825.0,RideEquipCorp,2021-02-17 10:58:17.965988656,882.9574773670354,1500 hours,Mountainous,Moderate,In Warranty,3,pass
Model A,2015,Alternator,2310.0,MotoComponentsLtd,2021-02-18 01:35:04.301433808,2487.7092049608664,1000 hours,Coastal,Light,In Warranty,1,fail
Model B,2015,Brake,485.0,AutoPartsCo,2021-02-18 16:11:50.636878960,1012.466946874513,1500 hours,Urban,Moderate,In Warranty,3,fail
Model B,2019,Headlight,4997.0,AutoPartsCo,2021-02-19 06:48:36.972324112,1408.266775357123,1000 hours,Mountainous,Light,Out of Warranty,1,pass
Model A,2016,Brake,4350.0,AutoPartsCo,2021-02-19 21:25:23.307769264,578.7432042955782,1000 hours,Urban,Light,In Warranty,3,pass
Model A,2019,Brake,3194.0,DriveLineTech,2021-02-20 12:02:09.643214400,628.5870516309353,1500 hours,Rural,Moderate,Out of Warranty,3,pass
Model A,2020,Alternator,3637.0,DriveLineTech,2021-02-21 02:38:55.978659552,1691.8512995422288,1500 hours,Rural,Light,In Warranty,3,pass
Model B,2019,Radiator,126.0,RideEquipCorp,2021-02-21 17:15:42.314104704,70.20925857699531,500 hours,Rural,Light,In Warranty,0,pass
Model B,2017,Radiator,865.0,DriveLineTech,2021-02-22 07:52:28.649549856,1291.1178816726892,500 hours,Coastal,Light,Out of Warranty,1,pass
Model D,2021,Radiator,817.0,AutoPartsCo,2021-02-22 22:29:14.984994992,818.0750381361531,1000 hours,Mountainous,Light,In Warranty,3,fail
Model C,2017,Brake,3735.0,MotoComponentsLtd,2021-02-23 13:06:01.320440144,631.8420014448645,1000 hours,Rural,Heavy,Out of Warranty,4,pass
Model A,2017,Alternator,155.0,DriveLineTech,2021-02-24 03:42:47.655885296,1332.3079728755604,,Coastal,Light,In Warranty,4,fail
Model B,2016,Engine,3966.0,DriveLineTech,2021-02-24 18:19:33.991330448,1677.6036174899252,1500 hours,Rural,Heavy,In Warranty,0,pass
Model B,2016,Brake,2923.0,AutoPartsCo,2021-02-25 08:56:20.326775584,1138.8646268409136,500 hours,Rural,Heavy,In Warranty,2,pass
Model A,2022,Brake,3396.0,DriveLineTech,2021-02-25 23:33:06.662220736,110.63451278895923,1500 hours,Mountainous,Light,In Warranty,0,pass
Model C,2019,Alternator,3198.0,RideEquipCorp,2021-02-26 14:09:52.997665888,949.7323221098733,1000 hours,Coastal,Moderate,In Warranty,2,pass
Model A,2017,Headlight,3198.0,MotoComponentsLtd,2021-02-27 04:46:39.333111040,952.3818847432475,1500 hours,Rural,Moderate,In Warranty,0,pass
Model C,2016,Brake,1515.0,AutoPartsCo,2021-02-27 19:23:25.668556192,1110.4070648689853,500 hours,Coastal,Light,In Warranty,4,pass
Model B,2015,Headlight,2637.0,RideEquipCorp,2021-02-28 10:00:12.004001328,1358.369857034927,1000 hours,Coastal,Heavy,In Warranty,3,pass
Model C,2019,Headlight,294.0,AutoPartsCo,2021-03-01 00:36:58.339446480,87.67088689196387,500 hours,Rural,Moderate,Out of Warranty,1,fail
Model D,2020,Radiator,2675.0,RideEquipCorp,2021-03-01 15:13:44.674891632,1028.9246175795133,500 hours,Rural,Light,Out of Warranty,3,pass
Model B,2021,Alternator,3899.0,MotoComponentsLtd,2021-03-02 05:50:31.010336784,1197.2001502921519,1000 hours,Urban,Light,Out of Warranty,4,fail
,2018,Headlight,1455.0,MotoComponentsLtd,2021-03-02 20:27:17.345781920,719.5391035113013,500 hours,Mountainous,Heavy,In Warranty,1,pass
Model A,2019,Alternator,,RideEquipCorp,2021-03-03 11:04:03.681227072,1353.3121918513446,1500 hours,Rural,Moderate,Out of Warranty,2,pass
Model A,2018,Radiator,3858.0,RideEquipCorp,2021-03-04 01:40:50.016672224,494.94654840188366,1500 hours,Urban,Light,Out of Warranty,2,pass
Model A,2017,Alternator,191.0,RideEquipCorp,2021-03-04 16:17:36.352117376,668.8760494815307,500 hours,Mountainous,Moderate,In Warranty,4,fail
Model C,2021,Brake,942.0,RideEquipCorp,2021-03-05 06:54:22.687562528,1927.3729274774357,1500 hours,Rural,Light,Out of Warranty,1,pass
Model B,2018,Headlight,2449.0,RideEquipCorp,2021-03-05 21:31:09.023007664,728.7372231792233,500 hours,Coastal,Light,In Warranty,3,pass
Model A,2017,,4690.0,RideEquipCorp,2021-03-06 12:07:55.358452816,725.6767303632028,1500 hours,,Light,Out of Warranty,4,pass
Model A,2015,Engine,3010.0,MotoComponentsLtd,2021-03-07 02:44:41.693897968,1211.5772398550748,500 hours,Coastal,Heavy,Out of Warranty,2,pass
Model B,2018,Alternator,2249.0,RideEquipCorp,2021-03-07 17:21:28.029343120,1943.4018932271174,1500 hours,Urban,Heavy,Out of Warranty,4,fail
Model A,2021,Headlight,1519.0,,2021-03-08 07:58:14.364788256,1967.0068696083508,1000 hours,Rural,Heavy,Out of Warranty,3,pass
Model D,2022,Radiator,2750.0,MotoComponentsLtd,2021-03-08 22:35:00.700233408,,1000 hours,Urban,Moderate,Out of Warranty,0,pass
Model B,2019,Radiator,,AutoPartsCo,2021-03-09 13:11:47.035678560,52.11968861961844,1500 hours,Rural,Heavy,In Warranty,0,fail
Model B,2017,Headlight,4908.0,MotoComponentsLtd,2021-03-10 03:48:33.371123712,1806.2802739983795,500 hours,Rural,Heavy,Out of Warranty,3,pass
Model B,2019,Brake,3424.0,,2021-03-10 18:25:19.706568864,1161.9640309252438,1500 hours,Coastal,Moderate,In Warranty,1,pass
Model D,2021,Brake,4769.0,AutoPartsCo,2021-03-11 09:02:06.042014000,763.6929961653749,500 hours,Urban,Moderate,Out of Warranty,4,pass
Model B,2016,Radiator,705.0,DriveLineTech,2021-03-11 23:38:52.377459152,1666.9305249810795,1500 hours,Coastal,Moderate,In Warranty,3,fail
Model D,2017,Radiator,2818.0,RideEquipCorp,2021-03-12 14:15:38.712904304,829.6732957328999,1500 hours,Coastal,Moderate,Out of Warranty,0,fail
Model B,2018,Headlight,92.0,RideEquipCorp,2021-03-13 04:52:25.048349456,116.38678709051611,1000 hours,Coastal,Heavy,Out of Warranty,2,pass
Model C,2017,,,MotoComponentsLtd,2021-03-13 19:29:11.383794592,1651.0908349611866,500 hours,Urban,Heavy,Out of Warranty,3,fail
Model A,2019,Radiator,1710.0,RideEquipCorp,2021-03-14 10:05:57.719239744,1114.4258319885364,500 hours,Rural,Moderate,Out of Warranty,3,pass
Model C,2015,Brake,4741.0,DriveLineTech,2021-03-15 00:42:44.054684896,709.3798995371826,500 hours,Rural,Heavy,Out of Warranty,3,pass
Model A,2017,Radiator,2274.0,MotoComponentsLtd,2021-03-15 15:19:30.390130048,539.2401338900098,500 hours,Urban,Light,In Warranty,0,pass
Model D,2018,Alternator,2160.0,MotoComponentsLtd,2021-03-16 05:56:16.725575184,1207.90504586008,500 hours,Rural,Heavy,Out of Warranty,0,pass
Model C,2016,,,MotoComponentsLtd,2021-03-16 20:33:03.061020336,455.69661903894524,1000 hours,Urban,Light,Out of Warranty,3,pass
Model B,2022,,610.0,RideEquipCorp,2021-03-17 11:09:49.396465488,681.5092287861563,1500 hours,Urban,Moderate,In Warranty,3,fail
Model A,2020,Radiator,1380.0,RideEquipCorp,2021-03-18 01:46:35.731910640,1291.234103357268,500 hours,Rural,Moderate,Out of Warranty,1,pass
Model A,2015,Engine,1362.0,RideEquipCorp,2021-03-18 16:23:22.067355792,1769.0116782915675,500 hours,Mountainous,Heavy,Out of Warranty,2,fail
Model C,2022,Engine,1871.0,MotoComponentsLtd,2021-03-19 07:00:08.402800928,1089.1361403636176,1500 hours,Coastal,Moderate,Out of Warranty,4,pass
Model D,2016,Radiator,3052.0,MotoComponentsLtd,2021-03-19 21:36:54.738246080,1530.2574766832304,1000 hours,Urban,Heavy,Out of Warranty,4,pass
Model C,2017,Radiator,3453.0,AutoPartsCo,2021-03-20 12:13:41.073691232,1537.9681773379316,1000 hours,Urban,Heavy,Out of Warranty,4,pass
Model D,2019,Brake,4995.0,,2021-03-21 02:50:27.409136384,1345.4902076858043,1000 hours,Mountainous,Heavy,In Warranty,0,pass
,2021,Radiator,2701.0,RideEquipCorp,2021-03-21 17:27:13.744581520,529.3847584770094,1500 hours,Urban,Heavy,Out of Warranty,0,fail
